"","tsunset","ts2","ts2round","ts2rounddate"
"124","2001-05-04 18:51:02","2001-05-04 20:51:02","2001-05-04 21:00:00","2001-05-04"
"125","2001-05-05 18:50:08","2001-05-05 20:50:08","2001-05-05 21:00:00","2001-05-05"
"126","2001-05-06 18:49:16","2001-05-06 20:49:16","2001-05-06 21:00:00","2001-05-06"
"127","2001-05-07 18:48:25","2001-05-07 20:48:25","2001-05-07 21:00:00","2001-05-07"
"128","2001-05-08 18:47:36","2001-05-08 20:47:36","2001-05-08 21:00:00","2001-05-08"
"129","2001-05-09 18:46:47","2001-05-09 20:46:47","2001-05-09 21:00:00","2001-05-09"
"130","2001-05-10 18:46:00","2001-05-10 20:46:00","2001-05-10 21:00:00","2001-05-10"
"131","2001-05-11 18:45:14","2001-05-11 20:45:14","2001-05-11 21:00:00","2001-05-11"
"132","2001-05-12 18:44:30","2001-05-12 20:44:30","2001-05-12 21:00:00","2001-05-12"
"133","2001-05-13 18:43:47","2001-05-13 20:43:47","2001-05-13 21:00:00","2001-05-13"
"134","2001-05-14 18:43:05","2001-05-14 20:43:05","2001-05-14 21:00:00","2001-05-14"
"135","2001-05-15 18:42:24","2001-05-15 20:42:24","2001-05-15 21:00:00","2001-05-15"
"136","2001-05-16 18:41:45","2001-05-16 20:41:45","2001-05-16 21:00:00","2001-05-16"
"137","2001-05-17 18:41:08","2001-05-17 20:41:08","2001-05-17 21:00:00","2001-05-17"
"138","2001-05-18 18:40:31","2001-05-18 20:40:31","2001-05-18 21:00:00","2001-05-18"
"139","2001-05-19 18:39:57","2001-05-19 20:39:57","2001-05-19 21:00:00","2001-05-19"
"140","2001-05-20 18:39:23","2001-05-20 20:39:23","2001-05-20 21:00:00","2001-05-20"
"141","2001-05-21 18:38:51","2001-05-21 20:38:51","2001-05-21 21:00:00","2001-05-21"
"142","2001-05-22 18:38:21","2001-05-22 20:38:21","2001-05-22 21:00:00","2001-05-22"
"143","2001-05-23 18:37:52","2001-05-23 20:37:52","2001-05-23 21:00:00","2001-05-23"
"144","2001-05-24 18:37:24","2001-05-24 20:37:24","2001-05-24 21:00:00","2001-05-24"
"145","2001-05-25 18:36:58","2001-05-25 20:36:58","2001-05-25 21:00:00","2001-05-25"
"146","2001-05-26 18:36:34","2001-05-26 20:36:34","2001-05-26 21:00:00","2001-05-26"
"147","2001-05-27 18:36:11","2001-05-27 20:36:11","2001-05-27 21:00:00","2001-05-27"
"148","2001-05-28 18:35:49","2001-05-28 20:35:49","2001-05-28 21:00:00","2001-05-28"
"149","2001-05-29 18:35:30","2001-05-29 20:35:30","2001-05-29 21:00:00","2001-05-29"
"150","2001-05-30 18:35:11","2001-05-30 20:35:11","2001-05-30 21:00:00","2001-05-30"
"151","2001-05-31 18:34:54","2001-05-31 20:34:54","2001-05-31 21:00:00","2001-05-31"
"152","2001-06-01 18:34:39","2001-06-01 20:34:39","2001-06-01 21:00:00","2001-06-01"
"153","2001-06-02 18:34:25","2001-06-02 20:34:25","2001-06-02 21:00:00","2001-06-02"
"154","2001-06-03 18:34:13","2001-06-03 20:34:13","2001-06-03 21:00:00","2001-06-03"
"155","2001-06-04 18:34:02","2001-06-04 20:34:02","2001-06-04 21:00:00","2001-06-04"
"156","2001-06-05 18:33:53","2001-06-05 20:33:53","2001-06-05 21:00:00","2001-06-05"
"157","2001-06-06 18:33:45","2001-06-06 20:33:45","2001-06-06 21:00:00","2001-06-06"
"158","2001-06-07 18:33:39","2001-06-07 20:33:39","2001-06-07 21:00:00","2001-06-07"
"159","2001-06-08 18:33:34","2001-06-08 20:33:34","2001-06-08 21:00:00","2001-06-08"
"160","2001-06-09 18:33:31","2001-06-09 20:33:31","2001-06-09 21:00:00","2001-06-09"
"161","2001-06-10 18:33:29","2001-06-10 20:33:29","2001-06-10 21:00:00","2001-06-10"
"162","2001-06-11 18:33:29","2001-06-11 20:33:29","2001-06-11 21:00:00","2001-06-11"
"163","2001-06-12 18:33:30","2001-06-12 20:33:30","2001-06-12 21:00:00","2001-06-12"
"164","2001-06-13 18:33:33","2001-06-13 20:33:33","2001-06-13 21:00:00","2001-06-13"
"165","2001-06-14 18:33:37","2001-06-14 20:33:37","2001-06-14 21:00:00","2001-06-14"
"166","2001-06-15 18:33:43","2001-06-15 20:33:43","2001-06-15 21:00:00","2001-06-15"
"167","2001-06-16 18:33:50","2001-06-16 20:33:50","2001-06-16 21:00:00","2001-06-16"
"168","2001-06-17 18:33:58","2001-06-17 20:33:58","2001-06-17 21:00:00","2001-06-17"
"169","2001-06-18 18:34:07","2001-06-18 20:34:07","2001-06-18 21:00:00","2001-06-18"
"170","2001-06-19 18:34:18","2001-06-19 20:34:18","2001-06-19 21:00:00","2001-06-19"
"171","2001-06-20 18:34:31","2001-06-20 20:34:31","2001-06-20 21:00:00","2001-06-20"
"172","2001-06-21 18:34:44","2001-06-21 20:34:44","2001-06-21 21:00:00","2001-06-21"
"173","2001-06-22 18:34:59","2001-06-22 20:34:59","2001-06-22 21:00:00","2001-06-22"
"174","2001-06-23 18:35:15","2001-06-23 20:35:15","2001-06-23 21:00:00","2001-06-23"
"175","2001-06-24 18:35:32","2001-06-24 20:35:32","2001-06-24 21:00:00","2001-06-24"
"176","2001-06-25 18:35:51","2001-06-25 20:35:51","2001-06-25 21:00:00","2001-06-25"
"177","2001-06-26 18:36:10","2001-06-26 20:36:10","2001-06-26 21:00:00","2001-06-26"
"178","2001-06-27 18:36:31","2001-06-27 20:36:31","2001-06-27 21:00:00","2001-06-27"
"179","2001-06-28 18:36:53","2001-06-28 20:36:53","2001-06-28 21:00:00","2001-06-28"
"180","2001-06-29 18:37:16","2001-06-29 20:37:16","2001-06-29 21:00:00","2001-06-29"
"181","2001-06-30 18:37:40","2001-06-30 20:37:40","2001-06-30 21:00:00","2001-06-30"
"182","2001-07-01 18:38:04","2001-07-01 20:38:04","2001-07-01 21:00:00","2001-07-01"
"183","2001-07-02 18:38:30","2001-07-02 20:38:30","2001-07-02 21:00:00","2001-07-02"
"184","2001-07-03 18:38:57","2001-07-03 20:38:57","2001-07-03 21:00:00","2001-07-03"
"185","2001-07-04 18:39:25","2001-07-04 20:39:25","2001-07-04 21:00:00","2001-07-04"
"186","2001-07-05 18:39:53","2001-07-05 20:39:53","2001-07-05 21:00:00","2001-07-05"
"187","2001-07-06 18:40:23","2001-07-06 20:40:23","2001-07-06 21:00:00","2001-07-06"
"188","2001-07-07 18:40:53","2001-07-07 20:40:53","2001-07-07 21:00:00","2001-07-07"
"189","2001-07-08 18:41:24","2001-07-08 20:41:24","2001-07-08 21:00:00","2001-07-08"
"190","2001-07-09 18:41:56","2001-07-09 20:41:56","2001-07-09 21:00:00","2001-07-09"
"191","2001-07-10 18:42:28","2001-07-10 20:42:28","2001-07-10 21:00:00","2001-07-10"
"192","2001-07-11 18:43:01","2001-07-11 20:43:01","2001-07-11 21:00:00","2001-07-11"
"193","2001-07-12 18:43:35","2001-07-12 20:43:35","2001-07-12 21:00:00","2001-07-12"
"194","2001-07-13 18:44:10","2001-07-13 20:44:10","2001-07-13 21:00:00","2001-07-13"
"195","2001-07-14 18:44:45","2001-07-14 20:44:45","2001-07-14 21:00:00","2001-07-14"
"196","2001-07-15 18:45:20","2001-07-15 20:45:20","2001-07-15 21:00:00","2001-07-15"
"197","2001-07-16 18:45:56","2001-07-16 20:45:56","2001-07-16 21:00:00","2001-07-16"
"198","2001-07-17 18:46:33","2001-07-17 20:46:33","2001-07-17 21:00:00","2001-07-17"
"199","2001-07-18 18:47:10","2001-07-18 20:47:10","2001-07-18 21:00:00","2001-07-18"
"200","2001-07-19 18:47:47","2001-07-19 20:47:47","2001-07-19 21:00:00","2001-07-19"
"201","2001-07-20 18:48:25","2001-07-20 20:48:25","2001-07-20 21:00:00","2001-07-20"
"202","2001-07-21 18:49:03","2001-07-21 20:49:03","2001-07-21 21:00:00","2001-07-21"
"203","2001-07-22 18:49:41","2001-07-22 20:49:41","2001-07-22 21:00:00","2001-07-22"
"204","2001-07-23 18:50:20","2001-07-23 20:50:20","2001-07-23 21:00:00","2001-07-23"
"205","2001-07-24 18:50:59","2001-07-24 20:50:59","2001-07-24 21:00:00","2001-07-24"
"206","2001-07-25 18:51:39","2001-07-25 20:51:39","2001-07-25 21:00:00","2001-07-25"
"207","2001-07-26 18:52:18","2001-07-26 20:52:18","2001-07-26 21:00:00","2001-07-26"
"208","2001-07-27 18:52:58","2001-07-27 20:52:58","2001-07-27 21:00:00","2001-07-27"
"209","2001-07-28 18:53:38","2001-07-28 20:53:38","2001-07-28 21:00:00","2001-07-28"
"210","2001-07-29 18:54:18","2001-07-29 20:54:18","2001-07-29 21:00:00","2001-07-29"
"211","2001-07-30 18:54:58","2001-07-30 20:54:58","2001-07-30 21:00:00","2001-07-30"
"212","2001-07-31 18:55:39","2001-07-31 20:55:39","2001-07-31 21:00:00","2001-07-31"
"213","2001-08-01 18:56:19","2001-08-01 20:56:19","2001-08-01 21:00:00","2001-08-01"
"214","2001-08-02 18:57:00","2001-08-02 20:57:00","2001-08-02 21:00:00","2001-08-02"
"215","2001-08-03 18:57:40","2001-08-03 20:57:40","2001-08-03 21:00:00","2001-08-03"
"216","2001-08-04 18:58:21","2001-08-04 20:58:21","2001-08-04 21:00:00","2001-08-04"
"217","2001-08-05 18:59:02","2001-08-05 20:59:02","2001-08-05 21:00:00","2001-08-05"
"218","2001-08-06 18:59:42","2001-08-06 20:59:42","2001-08-06 21:00:00","2001-08-06"
"219","2001-08-07 19:00:23","2001-08-07 21:00:23","2001-08-07 21:00:00","2001-08-07"
"220","2001-08-08 19:01:04","2001-08-08 21:01:04","2001-08-08 21:00:00","2001-08-08"
"221","2001-08-09 19:01:44","2001-08-09 21:01:44","2001-08-09 21:00:00","2001-08-09"
"222","2001-08-10 19:02:25","2001-08-10 21:02:25","2001-08-10 21:00:00","2001-08-10"
"223","2001-08-11 19:03:06","2001-08-11 21:03:06","2001-08-11 21:00:00","2001-08-11"
"224","2001-08-12 19:03:46","2001-08-12 21:03:46","2001-08-12 21:00:00","2001-08-12"
"225","2001-08-13 19:04:27","2001-08-13 21:04:27","2001-08-13 21:00:00","2001-08-13"
"226","2001-08-14 19:05:07","2001-08-14 21:05:07","2001-08-14 21:00:00","2001-08-14"
"227","2001-08-15 19:05:47","2001-08-15 21:05:47","2001-08-15 21:00:00","2001-08-15"
"228","2001-08-16 19:06:28","2001-08-16 21:06:28","2001-08-16 21:00:00","2001-08-16"
"229","2001-08-17 19:07:08","2001-08-17 21:07:08","2001-08-17 21:00:00","2001-08-17"
"230","2001-08-18 19:07:48","2001-08-18 21:07:48","2001-08-18 21:00:00","2001-08-18"
"231","2001-08-19 19:08:28","2001-08-19 21:08:28","2001-08-19 21:00:00","2001-08-19"
"232","2001-08-20 19:09:08","2001-08-20 21:09:08","2001-08-20 21:00:00","2001-08-20"
"233","2001-08-21 19:09:48","2001-08-21 21:09:48","2001-08-21 21:00:00","2001-08-21"
"234","2001-08-22 19:10:27","2001-08-22 21:10:27","2001-08-22 21:00:00","2001-08-22"
"235","2001-08-23 19:11:07","2001-08-23 21:11:07","2001-08-23 21:00:00","2001-08-23"
"236","2001-08-24 19:11:47","2001-08-24 21:11:47","2001-08-24 21:00:00","2001-08-24"
"237","2001-08-25 19:12:26","2001-08-25 21:12:26","2001-08-25 21:00:00","2001-08-25"
"238","2001-08-26 19:13:05","2001-08-26 21:13:05","2001-08-26 21:00:00","2001-08-26"
"239","2001-08-27 19:13:45","2001-08-27 21:13:45","2001-08-27 21:00:00","2001-08-27"
"240","2001-08-28 19:14:24","2001-08-28 21:14:24","2001-08-28 21:00:00","2001-08-28"
"241","2001-08-29 19:15:03","2001-08-29 21:15:03","2001-08-29 21:00:00","2001-08-29"
"242","2001-08-30 19:15:42","2001-08-30 21:15:42","2001-08-30 21:00:00","2001-08-30"
"243","2001-08-31 19:16:21","2001-08-31 21:16:21","2001-08-31 21:00:00","2001-08-31"
"244","2001-09-01 19:17:00","2001-09-01 21:17:00","2001-09-01 21:00:00","2001-09-01"
"245","2001-09-02 19:17:39","2001-09-02 21:17:39","2001-09-02 21:00:00","2001-09-02"
"246","2001-09-03 19:18:18","2001-09-03 21:18:18","2001-09-03 21:00:00","2001-09-03"
"247","2001-09-04 19:18:56","2001-09-04 21:18:56","2001-09-04 21:00:00","2001-09-04"
"248","2001-09-05 19:19:35","2001-09-05 21:19:35","2001-09-05 21:00:00","2001-09-05"
"249","2001-09-06 19:20:14","2001-09-06 21:20:14","2001-09-06 21:00:00","2001-09-06"
"250","2001-09-07 19:20:53","2001-09-07 21:20:53","2001-09-07 21:00:00","2001-09-07"
"251","2001-09-08 19:21:31","2001-09-08 21:21:31","2001-09-08 21:00:00","2001-09-08"
"252","2001-09-09 19:22:10","2001-09-09 21:22:10","2001-09-09 21:00:00","2001-09-09"
"253","2001-09-10 19:22:49","2001-09-10 21:22:49","2001-09-10 21:00:00","2001-09-10"
"254","2001-09-11 19:23:28","2001-09-11 21:23:28","2001-09-11 21:00:00","2001-09-11"
"255","2001-09-12 19:24:06","2001-09-12 21:24:06","2001-09-12 21:00:00","2001-09-12"
"256","2001-09-13 19:24:45","2001-09-13 21:24:45","2001-09-13 21:00:00","2001-09-13"
"257","2001-09-14 19:25:24","2001-09-14 21:25:24","2001-09-14 21:00:00","2001-09-14"
"258","2001-09-15 19:26:03","2001-09-15 21:26:03","2001-09-15 21:00:00","2001-09-15"
"259","2001-09-16 19:26:42","2001-09-16 21:26:42","2001-09-16 21:00:00","2001-09-16"
"260","2001-09-17 19:27:22","2001-09-17 21:27:22","2001-09-17 21:00:00","2001-09-17"
"261","2001-09-18 19:28:01","2001-09-18 21:28:01","2001-09-18 21:00:00","2001-09-18"
"262","2001-09-19 19:28:40","2001-09-19 21:28:40","2001-09-19 21:00:00","2001-09-19"
"263","2001-09-20 19:29:20","2001-09-20 21:29:20","2001-09-20 21:00:00","2001-09-20"
"264","2001-09-21 19:30:00","2001-09-21 21:30:00","2001-09-21 22:00:00","2001-09-21"
"265","2001-09-22 19:30:39","2001-09-22 21:30:39","2001-09-22 22:00:00","2001-09-22"
"266","2001-09-23 19:31:19","2001-09-23 21:31:19","2001-09-23 22:00:00","2001-09-23"
"267","2001-09-24 19:32:00","2001-09-24 21:32:00","2001-09-24 22:00:00","2001-09-24"
"268","2001-09-25 19:32:40","2001-09-25 21:32:40","2001-09-25 22:00:00","2001-09-25"
"269","2001-09-26 19:33:21","2001-09-26 21:33:21","2001-09-26 22:00:00","2001-09-26"
"270","2001-09-27 19:34:02","2001-09-27 21:34:02","2001-09-27 22:00:00","2001-09-27"
"271","2001-09-28 19:34:43","2001-09-28 21:34:43","2001-09-28 22:00:00","2001-09-28"
"272","2001-09-29 19:35:24","2001-09-29 21:35:24","2001-09-29 22:00:00","2001-09-29"
"273","2001-09-30 19:36:06","2001-09-30 21:36:06","2001-09-30 22:00:00","2001-09-30"
"274","2001-10-01 19:36:48","2001-10-01 21:36:48","2001-10-01 22:00:00","2001-10-01"
"275","2001-10-02 19:37:30","2001-10-02 21:37:30","2001-10-02 22:00:00","2001-10-02"
"276","2001-10-03 19:38:12","2001-10-03 21:38:12","2001-10-03 22:00:00","2001-10-03"
"277","2001-10-04 19:38:55","2001-10-04 21:38:55","2001-10-04 22:00:00","2001-10-04"
"278","2001-10-05 19:39:38","2001-10-05 21:39:38","2001-10-05 22:00:00","2001-10-05"
"279","2001-10-06 19:40:21","2001-10-06 21:40:21","2001-10-06 22:00:00","2001-10-06"
